[springmvc_hibernate][INFO] [2018-08-25 14:56:16] com.mchange.v2.log.MLog$1.run(124) | MLog clients using log4j logging.
[springmvc_hibernate][INFO] [2018-08-25 14:56:16] com.mchange.v2.c3p0.C3P0Registry.banner(248) | Initializing c3p0-0.9.5-pre10 [built 06-November-2014 02:02:55 -0800; debug? true; trace: 10]
[springmvc_hibernate][INFO] [2018-08-25 14:56:17] org.hibernate.annotations.common.reflection.java.JavaReflectionManager.<clinit>(66) | HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
[springmvc_hibernate][INFO] [2018-08-25 14:56:17] org.hibernate.Version.logVersion(54) | HHH000412: Hibernate Core {4.3.8.Final}
[springmvc_hibernate][INFO] [2018-08-25 14:56:17] org.hibernate.cfg.Environment.<clinit>(239) | HHH000206: hibernate.properties not found
[springmvc_hibernate][INFO] [2018-08-25 14:56:17] org.hibernate.cfg.Environment.buildBytecodeProvider(346) | HHH000021: Bytecode provider name : javassist
[springmvc_hibernate][INFO] [2018-08-25 14:56:17] com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource.getPoolManager(522) | Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 5, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 30000, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1b61fo49xv1ffz4p8gq6v|610f7aa, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceUseNamedDriverClass -> false, identityToken -> 1b61fo49xv1ffz4p8gq6v|610f7aa, idleConnectionTestPeriod -> 30, initialPoolSize -> 5, jdbcUrl -> jdbc:mysql://localhost:3306/spring-mvn?useUnicode=true&characterEncoding=utf-8, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 30, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 20, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 5, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
[springmvc_hibernate][INFO] [2018-08-25 14:56:17] org.hibernate.dialect.Dialect.<init>(145) | HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[springmvc_hibernate][WARN] [2018-08-25 14:56:18] org.hibernate.mapping.RootClass.checkCompositeIdentifier(288) | HHH000038: Composite-id class does not override equals(): cn.spring.mvc.batch.entity.SystemBatchTaskDispathControl
[springmvc_hibernate][WARN] [2018-08-25 14:56:18] org.hibernate.mapping.RootClass.checkCompositeIdentifier(289) | HHH000039: Composite-id class does not override hashCode(): cn.spring.mvc.batch.entity.SystemBatchTaskDispathControl
[springmvc_hibernate][WARN] [2018-08-25 14:56:18] org.hibernate.mapping.RootClass.checkCompositeIdentifier(288) | HHH000038: Composite-id class does not override equals(): cn.spring.mvc.batch.entity.SystemBatchTimeTaskDispathResult
